1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,31,185,629,51,21,51,102
0,202,722,2110,154,114,232,330
0,270,913,2865,189,150,278,421
0,425,1509,3274,308,297,482,791
0,563,1657,3488,337,307,503,998
0,641,1761,3634,356,323,507,1064
0,661,1849,3783,421,342,544,1357
0,832,2164,4036,498,432,639,1535
1,906,2266,4225,516,443,659,1671
1,1266,2618,4399,549,462,778,2286
1,1458,3007,4509,595,515,894,2768
3,1579,3156,4704,634,536,923,2960
3,1681,3304,4896,663,556,949,3130
3,1766,3415,5092,708,585,980,3301
3,1856,3555,5271,762,610,1008,3450
5,2007,3722,5451,808,645,1041,3660
5,2107,3863,5634,845,658,1064,3819
5,2201,3984,5836,876,689,1095,4014
5,2274,4111,6026,913,706,1121,4188
5,2337,4192,6175,954,717,1153,4366
5,2362,4315,6312,987,766,1173,4509
5,2390,4413,6438,1034,808,1201,4698
5,2465,4517,6610,1073,832,1235,4861
11,2593,4662,6815,1108,846,1263,5038
11,2702,4821,6976,1136,861,1284,5212
11,2814,4953,7152,1157,870,1296,5330
11,2900,5067,7303,1190,888,1312,5462
11,3005,5205,7471,1222,899,1329,5601
11,3102,5308,7666,1242,916,1342,5663
11,3182,5443,7827,1294,939,1392,5791
11,3232,5610,7998,1325,973,1471,5888
11,3348,5716,8200,1346,990,1488,5976
11,3407,5821,8362,1377,1012,1519,6065
11,3499,5994,8576,1427,1039,1544,6198
11,3565,6116,8724,1467,1081,1569,6300
11,3637,6226,8919,1492,1097,1592,6384
11,3695,6329,9071,1516,1107,1616,6495
12,3770,6422,9237,1548,1125,1629,6595
12,3863,6542,9425,1585,1144,1654,6760
12,3940,6631,9584,1611,1154,1669,6826
12,3948,6664,9660,1619,1163,1680,6885
12,4136,6930,9906,1667,1217,1735,7090
12,4240,7050,10040,1700,1238,1763,7215
12,4314,7141,10218,1732,1255,1774,7274
12,4404,7244,10365,1752,1269,1796,7394
12,4495,7395,10567,1796,1287,1837,7579
12,4592,7534,10716,1818,1325,1866,7680
12,4680,7642,10897,1844,1343,1877,7769
12,4755,7810,11042,1880,1385,1901,7844
12,4877,7965,11191,1902,1401,1935,7957
12,4984,8129,11368,1951,1439,1978,8043
12,5085,8237,11495,1978,1449,1984,8096
12,5214,8393,11694,2021,1486,2007,8245
12,5276,8497,11925,2047,1504,2031,8384
12,5342,8625,12086,2069,1523,2077,8482
12,5444,8783,12238,2103,1546,2098,8563
12,5451,8808,12311,2118,1552,2111,8630
13,5655,8999,12551,2149,1586,2130,8723
13,5756,9111,12772,2181,1603,2157,8870
13,5854,9236,12934,2213,1620,2183,8981
13,5965,9365,13176,2262,1642,2215,9157
15,6057,9504,13342,2293,1661,2240,9273
15,6063,9533,13392,2301,1662,2249,9318
16,6174,9778,13751,2328,1712,2288,9409
16,6181,9799,13900,2331,1717,2293,9411
16,6428,10069,14458,2353,1728,2307,9460
16,6570,10231,15139,2381,1739,2332,9481
