1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,159,653,1445,84,97,152,246
0,199,932,2233,338,164,208,437
0,215,1082,2572,675,213,245,612
0,217,1162,2761,955,610,430,1173
0,263,1285,2980,1271,782,555,1416
0,279,1372,3186,1443,805,569,1603
0,303,1524,3521,1574,824,580,1798
0,311,1629,3702,1777,844,589,1964
0,335,1756,3916,1934,875,610,2132
0,349,1871,4139,2086,893,638,2274
0,352,1946,4298,2222,924,658,2415
0,361,2007,4444,2328,948,672,2576
0,383,2128,4658,2435,962,681,2711
0,400,2223,4866,2559,985,690,2883
0,405,2328,5101,2760,1024,710,3125
0,433,2422,5327,2898,1048,725,3306
0,454,2535,5503,3091,1071,751,3467
0,481,2673,5777,3213,1090,767,3656
0,492,2764,5959,3450,1112,775,3838
0,516,2857,6129,3584,1129,787,4015
0,545,3002,6374,3716,1157,804,4180
0,567,3113,6586,3866,1185,816,4367
0,570,3223,6762,4113,1228,831,4561
0,589,3349,6957,4258,1258,844,4712
0,612,3476,7173,4408,1274,857,4857
0,627,3576,7354,4570,1307,867,4996
0,640,3722,7533,4789,1334,882,5161
0,647,3808,7707,4996,1360,903,5339
0,660,3902,7824,5171,1399,919,5489
0,671,4018,7987,5373,1450,942,5655
0,676,4124,8146,5580,1463,950,5818
0,681,4223,8316,5806,1489,968,5959
0,694,4320,8484,5974,1519,982,6092
0,705,4440,8685,6159,1547,990,6244
0,744,4556,8914,6303,1563,1009,6405
0,757,4656,9085,6472,1585,1022,6554
0,786,4749,9284,6622,1605,1031,6673
0,796,4859,9464,6811,1642,1049,6828
0,808,4950,9606,6991,1686,1063,7037
0,815,5026,9741,7151,1726,1082,7229
0,831,5139,9888,7357,1751,1087,7368
0,842,5226,10056,7506,1782,1095,7545
0,884,5373,10275,7684,1795,1108,7687
0,901,5488,10436,7842,1840,1125,7840
0,927,5612,10628,7967,1854,1142,7992
0,946,5699,10806,8103,1879,1158,8144
0,952,5839,10958,8343,1904,1170,8345
0,960,5916,11135,8488,1928,1182,8467
0,977,6022,11293,8671,1950,1198,8660
0,992,6110,11466,8835,1968,1211,8837
0,1007,6252,11770,8973,1983,1217,9053
0,1024,6347,11929,9134,2017,1238,9219
0,1049,6446,12079,9255,2048,1251,9386
0,1078,6538,12237,9402,2066,1265,9520
0,1097,6648,12414,9567,2097,1289,9662
0,1105,6736,12545,9776,2114,1301,9767
0,1111,6870,12739,10000,2131,1311,9921
0,1117,6973,12905,10179,2163,1316,10069
0,1125,7029,13049,10355,2196,1332,10228
0,1130,7133,13204,10600,2233,1344,10396
0,1140,7230,13366,10779,2254,1358,10553
0,1147,7371,13570,11003,2289,1383,10707
0,1157,7479,13775,11188,2314,1392,10874
0,1169,7598,14080,11474,2351,1412,10946
0,1179,7710,14207,11779,2368,1420,10980
0,1186,7781,14333,12065,2398,1430,11009
0,1191,7832,14474,12373,2416,1445,11040
0,1203,7968,14778,12861,2447,1462,11087
