1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,66,245,815,52,49,67,79
0,193,631,2136,106,95,166,235
0,295,936,2918,162,158,278,425
0,477,1215,3448,206,188,330,571
0,601,1558,3481,218,204,390,2924
0,606,1698,3506,231,209,415,4600
0,1814,2320,3562,296,260,526,7681
0,2566,2842,3612,360,329,611,10304
0,2574,3069,3636,381,339,644,12197
0,2583,3209,3648,384,346,664,14004
0,4271,4126,3694,521,423,753,18010
0,5144,4548,3742,534,469,866,20787
0,5731,5071,3771,592,511,963,23429
0,6469,5531,3816,633,533,1071,26286
0,7209,6093,3851,694,564,1184,29238
0,7873,6613,3898,753,608,1252,31946
0,8469,7219,3936,809,631,1340,34529
0,9239,7799,3970,866,666,1454,37348
0,9943,8277,4008,928,717,1592,39955
0,10709,8768,4046,993,744,1676,42835
0,11404,9276,4095,1045,793,1758,45525
0,12245,9821,4139,1117,842,1910,48234
0,13020,10300,4178,1166,866,2010,50892
0,13859,10855,4231,1242,915,2112,53634
0,14424,11336,4261,1272,929,2166,56240
0,15154,11779,4306,1324,963,2250,58844
0,15876,12190,4339,1373,1017,2303,61504
0,16607,12659,4388,1423,1058,2357,64144
0,17356,13144,4419,1451,1092,2502,66670
0,18159,13693,4477,1518,1156,2585,69368
0,18639,14253,4506,1552,1193,2664,71973
0,19201,14658,4560,1570,1246,2811,74426
0,19428,15322,4630,1624,1317,2901,76884
0,19844,15882,4669,1689,1370,3070,79171
0,20489,16388,4725,1747,1430,3207,81779
0,21062,16784,4767,1781,1483,3282,84375
0,21801,17255,4801,1838,1507,3368,87048
0,21850,17820,4864,1872,1602,3556,88933
0,22372,18259,4895,1894,1696,3669,91243
0,22717,18846,4933,1922,1744,3832,93545
0,23083,19379,4965,1950,1817,3919,95914
0,23791,19858,5010,1974,1861,4109,98497
0,23813,20457,5057,2012,1915,4284,100409
0,23848,21037,5118,2064,2009,4459,102170
0,24397,21582,5181,2133,2078,4562,104685
0,25119,22066,5223,2173,2098,4701,107362
0,25503,22625,5263,2207,2181,4891,109683
0,25543,23158,5317,2242,2265,5175,111411
0,25616,23663,5356,2281,2370,5418,113071
0,26268,24175,5409,2322,2505,5560,115561
0,26783,24620,5446,2356,2568,5647,118013
0,27224,25002,5484,2395,2631,5700,120440
0,27513,25524,5537,2415,2678,5849,122842
0,28084,25960,5583,2444,2712,5951,125509
0,28794,26301,5616,2475,2738,6046,128321
0,29449,26700,5656,2514,2780,6117,131016
0,30154,27142,5694,2569,2807,6161,133776
0,30727,27630,5751,2607,2855,6372,136199
0,31277,28020,5788,2642,2912,6462,138532
0,31949,28577,5827,2691,2936,6606,141038
0,32133,29130,5884,2725,3014,6700,143137
1,32195,29713,5932,2800,3146,6871,144946
1,32417,30307,5970,2825,3238,7072,146981
1,32921,31062,6038,2919,3357,7310,149492
1,33031,31206,6416,2966,3366,7319,149506
1,33196,31480,7059,3037,3448,7406,149675
1,33230,31540,7433,3077,3455,7411,149689
1,33391,31688,7901,3099,3464,7426,149703
