1us,4us,16us,64us,256us,1ms,4ms,4ms+
1,160,638,1315,162,145,196,317
1,196,917,2040,463,283,303,595
1,200,985,2241,615,408,413,1191
1,206,1041,2396,818,669,557,1712
1,208,1126,2551,1044,970,739,2246
1,210,1171,2695,1246,1208,861,2709
1,217,1232,2893,1450,1462,990,3230
1,219,1267,3009,1569,1662,1108,3707
1,227,1349,3177,1839,2016,1297,4356
1,231,1388,3306,1973,2187,1392,4860
1,231,1416,3395,2142,2393,1499,5358
1,235,1474,3618,2344,2642,1677,5885
1,238,1523,3711,2469,2795,1755,6395
1,241,1580,3924,2669,3086,1948,6920
1,242,1616,4020,2786,3248,2043,7406
1,244,1668,4145,2981,3510,2204,7957
1,244,1698,4297,3134,3716,2300,8443
1,246,1735,4383,3253,3891,2412,8940
1,249,1802,4582,3471,4111,2573,9489
1,251,1840,4682,3590,4260,2637,9963
1,253,1901,4810,3753,4551,2758,10502
1,257,1951,4966,3889,4747,2866,11034
1,257,1992,5083,4028,4928,2988,11526
1,258,2075,5318,4257,5253,3144,12065
1,259,2094,5376,4336,5415,3201,12519
1,266,2185,5544,4586,5640,3312,13099
1,268,2229,5685,4725,5836,3421,13584
1,270,2306,5772,4849,6073,3557,14116
1,271,2372,6013,5070,6285,3695,14620
1,272,2400,6087,5155,6423,3789,15118
1,274,2476,6283,5419,6760,4000,15662
1,274,2491,6377,5512,6899,4066,16123
1,276,2546,6493,5709,7228,4204,16668
1,285,2605,6694,5969,7410,4340,17182
1,285,2627,6759,6051,7561,4415,17701
1,287,2683,6961,6284,7827,4603,18249
1,290,2706,7076,6383,7953,4708,18734
1,291,2761,7219,6598,8289,4882,19276
1,293,2806,7376,6732,8482,4979,19767
1,295,2852,7469,6879,8729,5083,20215
1,301,2908,7655,7168,9061,5278,20786
1,303,2937,7730,7247,9214,5374,21267
1,305,3039,7936,7534,9591,5578,21840
1,305,3066,8019,7628,9734,5665,22305
1,305,3120,8125,7830,10104,5819,22841
1,307,3179,8292,8069,10518,5991,23326
1,307,3194,8346,8168,10668,6075,23790
1,312,3267,8506,8462,11037,6255,24390
1,313,3293,8593,8546,11174,6331,24892
1,315,3364,8684,8765,11473,6460,25435
1,315,3422,8864,8963,11754,6634,25952
1,315,3448,8918,9058,11897,6745,26425
1,315,3508,9070,9274,12214,6952,27019
1,321,3547,9175,9388,12306,7026,27515
1,323,3590,9294,9630,12673,7205,28060
1,325,3633,9424,9741,12843,7327,28588
1,326,3675,9518,9878,13040,7411,29106
1,329,3742,9691,10157,13415,7662,29623
1,329,3762,9742,10231,13541,7742,30089
1,335,3856,9914,10523,13958,7897,30619
1,337,3909,10022,10668,14164,8004,31126
1,339,3964,10132,10792,14401,8160,31647
1,355,4137,10746,11094,14576,8255,31844
1,365,4213,11115,11397,14638,8285,31966
1,380,4505,11867,11972,14822,8483,32087
