TGID,Read Count,Write Count
5072,100,65
5268,100,50
8186,100,52
4993,66,100
727,100,4
727,101,4
4993,49,100
4838,94,100
3777,47,100
3783,54,100
10776,14,100
10788,100,1
10789,100,0
7712,100,99
7183,100,1
7712,100,99
7712,100,99
7183,99,100
7712,100,98
7426,100,99
7712,99,100
7183,97,100
10776,12,100
7712,100,99
727,101,0
727,100,0
7712,100,99
10776,9,100
7712,100,99
7712,100,99
7183,93,100
7712,100,99
3777,63,100
7183,87,100
7712,100,99
10776,17,100
7712,100,99
7712,100,99
7183,100,99
7715,100,1
7719,100,1
7712,100,99
7712,100,99
3777,56,100
7183,90,100
7712,100,67
7426,100,10
7712,99,100
3777,56,100
7183,96,100
7712,100,99
7183,96,100
7712,99,100
7183,100,99
7840,100,1
7712,99,100
727,100,1
727,101,1
7529,100,1
10776,8,100
7183,100,99
7712,100,99
7712,100,99
7712,100,99
7712,100,99
7183,98,100
7712,99,100
7183,100,62
7183,100,21
727,100,0
727,101,0
727,101,0
727,102,0
727,100,1
727,101,1
7183,100,11
7183,100,0
7715,100,1
7719,100,1
7712,100,4
7426,100,1
7840,100,1
727,100,4
727,101,4
7529,100,1
7183,100,90
7712,100,99
7183,100,66
7712,100,99
7183,100,99
7712,100,99
7712,100,99
7712,100,99
7712,100,99
727,100,2
727,101,2
7712,100,99
10776,12,100
7712,100,99
3777,65,100
7183,88,100
10776,18,100
7712,100,98
7712,100,99
7712,100,99
7712,100,99
7712,99,100
7712,99,100
3777,58,100
7183,99,100
7712,99,100
7183,99,100
7712,99,100
7712,100,99
7712,100,99
7712,99,100
727,101,4
727,101,4
7712,100,99
3777,64,100
10776,9,100
7712,100,99
7183,97,100
4993,48,100
7712,100,99
3783,49,100
3777,46,100
727,100,0
727,101,0
7183,100,12
10776,18,100
4993,48,100
4838,94,100
3777,61,100
3783,52,100
7183,100,99
7712,100,99
7183,94,100
7712,99,100
7712,100,99
7183,91,100
3777,63,100
7712,100,99
10776,17,100
7712,100,99
7715,100,1
7719,100,1
7712,99,100
3777,55,100
7183,95,100
7712,100,61
7426,100,1
7183,98,100
7712,100,99
7712,100,99
7840,100,1
7712,100,99
727,100,6
7529,100,2
7712,100,99
7712,99,100
7712,100,99
7712,100,99
7712,100,99
4993,46,100
4838,95,100
3783,54,100
3777,49,100
3824,52,100
727,100,3
4838,73,100
3783,41,100
3777,37,100
5072,100,62
8186,100,53
4993,47,100
4838,72,100
10776,12,100
3777,48,100
3783,49,100
4838,70,100
10776,12,100
3777,45,100
3783,46,100
5072,100,63
8186,100,53
4993,45,100
4838,71,100
10776,12,100
727,100,1
3783,44,100
3777,54,100
3777,54,100
3777,55,100
3783,67,100
7712,100,99
7712,100,99
7183,100,72
7183,101,72
7712,100,99
3777,50,100
7712,100,99
7183,91,100
10776,17,100
7712,100,99
7712,100,99
7183,92,100
7712,100,99
727,100,4
7183,100,24
7712,100,99
7712,99,100
7712,100,99
4423,100,8
7712,99,100
7183,100,97
7715,100,1
7719,100,1
7712,100,99
7183,100,99
7712,100,99
7183,99,100
7712,100,49
7183,99,100
7712,99,100
7426,100,4
7712,99,100
7840,100,1
7712,100,99
7183,100,99
727,100,0
727,101,0
7529,100,1
7712,99,100
7712,100,99
3777,61,100
10776,12,100
7712,100,99
7712,100,99
3777,58,100
7183,96,100
7712,99,100
7183,100,99
7712,100,99
7183,100,98
10776,17,100
7712,100,99
7712,100,99
7183,100,98
7712,99,100
7183,100,87
7712,100,99
7712,100,99
7712,100,98
7712,100,99
7712,99,100
727,100,5
727,101,5
7712,100,99
7183,95,100
7712,100,99
7712,100,99
7183,100,97
7712,100,99
7712,100,99
7712,100,99
7183,92,100
7712,100,99
7183,100,96
7712,100,99
7712,99,100
7712,99,100
7712,100,99
3777,55,100
7183,95,100
7712,99,100
7712,99,100
7183,94,100
727,100,4
7712,100,99
7712,99,100
7183,88,100
7712,100,99
7183,100,96
7712,100,99
7712,100,99
7712,99,100
3777,53,100
7183,95,100
7712,100,99
7183,95,100
7712,100,98
7712,100,99
7712,100,99
7712,100,99
7712,100,99
7712,100,99
7183,94,100
7712,100,99
7712,100,99
7183,100,98
727,100,1
727,101,1
7712,99,100
7183,99,100
10776,12,100
7712,100,99
7712,100,100
7712,99,100
7712,100,99
7712,100,99
7712,100,99
7712,100,99
7712,100,99
7715,100,1
7719,100,1
7712,100,99
7183,100,99
7712,99,100
7712,100,99
7712,100,99
7183,97,100
7712,99,100
7712,100,99
3777,56,100
7183,96,100
7426,100,29
7840,100,5
7712,99,100
727,100,1
7529,100,1
7183,99,100
7712,99,100
10776,12,100
7712,100,99
7712,100,99
7183,100,99
7712,99,100
7712,100,99
7183,95,100
7712,100,99
7712,100,99
7712,100,99
7712,100,98
7183,100,99
7712,100,98
7712,100,99
7712,100,99
7712,100,99
727,100,3
727,101,3
7712,100,99
7712,100,98
10776,12,100
3783,67,100
7183,90,100
3777,58,100
