1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,0,0,0,0,0,0,0
0,0,0,0,0,2,2,0
0,0,0,0,0,2,2,0
0,0,0,0,0,2,2,0
0,0,0,0,0,2,2,0
0,0,0,0,0,4,2,0
0,0,0,0,0,4,2,0
0,0,0,0,0,6,10,0
0,0,0,0,0,6,10,0
0,0,0,0,0,8,11,0
0,0,0,0,0,8,11,0
0,0,0,0,0,8,11,0
0,0,0,0,0,9,12,0
0,0,0,1,1,11,12,0
0,0,0,1,1,11,13,0
0,0,0,1,1,11,13,0
0,0,0,1,1,11,13,0
0,0,0,1,1,11,13,0
0,0,0,1,1,15,20,0
0,0,0,1,1,15,20,0
0,0,0,1,1,17,28,1
0,0,0,1,1,17,28,1
0,0,0,1,1,18,29,1
0,0,0,1,1,18,29,1
0,0,0,1,1,18,29,1
0,0,0,1,1,18,29,1
0,0,0,1,1,19,30,1
0,0,0,1,1,19,30,1
0,0,0,1,1,19,30,1
