TGID,Kmem Count,Vmem Count,Slab Count
12317,1000,0,6
5072,43,180,1000
3649,1000,2,162
8186,7,2,1000
5268,310,219,1000
4926,191,1000,144
66,251,0,1000
16,285,0,1000
54,286,1,1000
3817,1000,1,256
42,283,0,1000
36,283,0,1000
4949,1000,610,384
4486,11,0,1000
12317,1000,0,1
3649,1000,1,270
3817,1000,0,247
4949,1000,136,262
12317,1000,0,1
3649,1000,2,122
3649,1000,0,149
13333,1000,0,6
3649,1000,5,134
13333,1000,0,1
3649,1000,1,120
13333,1000,0,1
3649,1000,3,124
3649,1000,4,133
13333,1000,0,1
3649,1000,3,489
4949,128,1000,83
4993,32,84,1000
13335,10,138,1000
13336,10,205,1000
13337,12,91,1000
13338,10,88,1000
4926,224,1000,166
13333,1000,0,1
3649,1000,1,106
13204,793,48,1000
4838,1000,801,499
13204,803,75,1000
3817,1000,0,222
4486,22,0,1000
4838,396,1000,246
13333,1000,0,1
3649,1000,3,384
3817,1000,0,226
7183,333,1000,152
4949,1000,247,267
13204,816,54,1000
13333,1000,0,1
3649,1000,2,399
7712,141,1000,201
7712,141,1001,201
7183,1000,407,518
13333,1000,0,1
3649,1000,3,537
3817,1000,0,231
7183,1000,111,205
7712,59,1000,50
4926,0,1000,14
13204,735,34,1000
3649,1000,1,588
13333,1000,0,1
3817,1000,0,218
7183,1000,138,216
3649,1000,0,614
13333,1000,0,1
13204,841,34,1000
3649,1000,1,171
7183,1001,464,643
7183,1001,464,643
7712,387,1000,233
4336,34,163,1000
3817,1000,0,214
7183,1000,405,543
13333,1000,0,1
13352,53,106,1000
13353,72,126,1000
13354,73,132,1000
7712,17,1000,47
13204,713,81,1000
4486,237,41,1000
72,75,1,1000
727,642,1,1000
706,1000,87,478
1,1000,4,808
13359,51,103,1000
7426,236,1000,121
3649,1000,1,386
7183,246,1000,164
3817,1000,0,237
13333,1000,0,1
13204,807,28,1000
5003,493,1000,379
4926,16,1000,29
3649,1000,2,411
7712,529,1000,441
7183,1000,104,243
3817,1000,0,212
7712,427,1000,407
13333,1000,0,1
3649,1000,3,294
7183,674,1000,159
3817,1000,0,215
7712,414,1000,346
13333,1000,0,1
7183,1000,678,214
3649,1000,2,325
3817,1000,0,208
3649,1000,3,347
13333,1000,0,0
7183,269,1000,78
3817,1000,0,290
3861,1000,0,380
3649,1000,4,234
13333,1000,0,1
3817,1000,0,253
7183,201,1000,215
3861,1000,0,461
3649,1000,0,347
7712,33,1000,34
13333,1000,0,1
7183,384,1000,320
3649,1000,1,184
3861,1000,0,462
3817,1000,0,285
3649,1000,7,324
13333,1000,0,1
7712,97,1000,147
3817,1000,1,281
7183,1000,768,322
13362,54,108,1000
13363,70,126,1000
4486,956,56,1000
13364,73,132,1000
42,23,17,1000
3649,1000,16,288
13365,51,105,1000
7183,340,1000,304
13333,1000,0,1
3649,1000,2,165
3817,1000,0,215
3649,1000,4,133
13333,1000,0,1
4486,318,1000,128
7712,0,1000,0
13333,1000,0,1
3649,1000,9,142
