TGID,Kids Length,Total Percent
4926,15,92.000000
3636,1,74.000000
10114,1,59.000000
3636,1,63.000000
3649,1,60.000000
4486,37,0.000000
4486,43,100.000000
3649,1,70.000000
3636,1,82.000000
4486,79,98.000000
10120,12,93.000000
4486,80,54.000000
4486,80,21.000000
3649,1,70.000000
7183,17,50.000000
3636,1,77.000000
4486,80,157.000000
4486,80,94.000000
7183,19,30.000000
3636,1,43.000000
7183,28,91.000000
7712,13,53.000000
3649,1,0.000000
3636,1,40.000000
7712,23,90.000000
3649,1,58.000000
3636,1,83.000000
7183,45,61.000000
3636,1,10.000000
7183,46,10.000000
3649,1,40.000000
7712,29,75.000000
3636,1,63.000000
7183,53,70.000000
3649,1,61.000000
7183,55,92.000000
3636,1,71.000000
7712,29,0.000000
7183,53,71.000000
3636,1,54.000000
3649,1,61.000000
4486,80,76.000000
3636,1,23.000000
7183,53,0.000000
7183,53,30.000000
7712,29,61.000000
3636,1,0.000000
3649,1,10.000000
7183,54,70.000000
3636,1,71.000000
3649,1,60.000000
3636,1,10.000000
3649,1,10.000000
7183,55,72.000000
7712,29,20.000000
3636,1,60.000000
3649,1,67.000000
4486,80,0.000000
7183,63,10.000000
3636,1,20.000000
3636,1,43.000000
7712,29,55.000000
7183,59,30.000000
3636,1,60.000000
7183,59,50.000000
7712,28,57.000000
3636,1,40.000000
4486,81,90.000000
3636,1,0.000000
3636,1,30.000000
3636,1,61.000000
7183,60,30.000000
3636,1,62.000000
3636,1,20.000000
7712,28,10.000000
7183,60,10.000000
3636,1,51.000000
3649,1,55.000000
7183,60,74.000000
7712,28,41.000000
3636,1,68.000000
4486,82,90.000000
7183,60,30.000000
7712,28,0.000000
3636,1,49.000000
3649,1,50.000000
7183,60,70.000000
7712,28,41.000000
3636,1,83.000000
7712,28,91.000000
3649,1,41.000000
7183,60,70.000000
3636,1,21.000000
3636,1,54.000000
7183,60,30.000000
3636,1,61.000000
7712,28,79.000000
7183,60,40.000000
3636,1,0.000000
7712,28,81.000000
7183,60,40.000000
7712,28,71.000000
7183,60,30.000000
7183,60,30.000000
3636,1,13.000000
7712,28,82.000000
7183,59,40.000000
7712,28,90.000000
7183,56,40.000000
3636,1,0.000000
7712,28,86.000000
7183,56,40.000000
7183,56,62.000000
3636,1,42.000000
3649,1,21.000000
7712,28,31.000000
7183,56,50.000000
3636,1,27.000000
7183,57,50.000000
3636,1,33.000000
3649,1,10.000000
7712,28,10.000000
3636,1,69.000000
7183,57,60.000000
3649,1,30.000000
7712,28,30.000000
10176,1,98.000000
3636,1,86.000000
3649,1,50.000000
7183,57,61.000000
7712,28,30.000000
7712,28,50.000000
7183,57,70.000000
3636,1,40.000000
727,16,93.000000
3649,1,10.000000
10176,1,230.000000
10184,1,81.000000
3636,1,75.000000
