1us,4us,16us,64us,256us,1ms,4ms,4ms+
0,350,771,1721,266,178,208,292
0,457,1315,2852,372,313,401,584
0,528,1840,4973,1061,494,556,984
0,530,2016,5418,1462,573,620,1240
0,536,2237,5969,2586,877,696,1380
0,547,2297,6085,2769,906,700,1442
0,567,2458,6378,3069,929,708,1529
0,576,2563,6649,3471,951,728,1595
0,581,2604,6728,3688,960,732,1616
0,583,2623,6783,3867,969,735,1640
0,591,2712,6947,4149,977,749,1678
0,600,2753,7026,4334,985,753,1730
0,602,2763,7062,4410,995,753,1787
0,606,2796,7134,4537,1014,755,1826
0,631,2894,7268,4784,1041,768,1882
0,638,2931,7343,4955,1051,777,1928
0,641,2939,7356,5049,1058,779,1962
0,641,2942,7361,5102,1059,781,1975
0,645,2953,7385,5261,1066,781,1999
0,649,2977,7422,5470,1078,785,2017
0,659,3109,7660,5863,1090,795,2083
0,665,3152,7733,5996,1099,797,2126
0,668,3181,7790,6150,1115,800,2197
0,671,3267,7898,6359,1120,804,2232
0,677,3309,7982,6470,1127,811,2256
0,678,3333,8057,6605,1128,813,2294
0,686,3384,8118,6763,1136,816,2348
0,689,3438,8186,6896,1151,818,2401
