PID,Command,Kmem Count,Vmem Count,Slab Count
12432,scx_spy,500,214,23
7049,ThreadPoolForeg,0,500,0
11482,kworker/u512:0,154,500,0
10584,cpptools,12,500,349
10422,code,74,42,500
12435,code,10,92,500
576,systemd-udevd,279,0,500
7047,code,35,500,51
7107,VizCompositorTh,500,2,125
7050,Chrome_ChildIOT,500,89,237
7055,Compositor,74,500,120
12432,scx_spy,500,12,56
10514,cpptools,0,500,315
7107,VizCompositorTh,500,14,133
2114,gnome-shell,500,150,276
12432,scx_spy,0,500,0
7047,code,4,500,4
12432,scx_spy,0,500,0
2114,gnome-shell,3,500,2
576,systemd-udevd,0,0,500
12432,scx_spy,500,0,0
7047,code,0,500,10
12432,scx_spy,500,0,37
12432,scx_spy,500,0,109
12432,scx_spy,500,0,0
7047,code,0,500,10
12432,scx_spy,500,0,0
12432,scx_spy,500,2,142
12432,scx_spy,500,0,0
12432,scx_spy,500,0,109
12432,scx_spy,500,0,0
