Timestamp,PID,Comm,State,Event_Type,Source_IP,Source_Port,Destination_IP,Destination_Port
2024-12-24 13:38:48.488023850,7712,Isolated Web Co,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,53594
2024-12-24 13:39:34.922018714,3649,Xorg,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,53594
2024-12-24 13:39:48.579015989,3649,Xorg,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,53594
2024-12-24 13:40:16.206016476,7183,firefox,FIN_WAIT1,1,2001:250:1006:aaaa::2b31,16012,2600:1901:0:b3ea::,443
2024-12-24 13:42:43.956013192,3636,xrdp,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,53594
2024-12-24 13:42:56.165017192,3649,Xorg,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,53594
2024-12-24 14:17:01.450000031,11500,xrdp,ESTABLISHED,1,10.193.121.196,20162,98.85.100.80,443
2024-12-24 14:17:01.450034758,11500,xrdp,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,56120
2024-12-24 14:17:02.265017575,3649,Xorg,ESTABLISHED,1,10.193.121.196,24770,98.85.100.80,443
2024-12-24 14:17:02.281788573,3649,Xorg,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,56120
2024-12-24 14:17:03.017944565,12121,python3,FIN_WAIT1,1,10.193.121.196,31426,98.85.100.80,443
2024-12-24 14:17:03.030005940,12121,python3,FIN_WAIT1,1,10.193.121.196,30402,98.85.100.80,443
2024-12-24 14:17:04.694007797,11500,xrdp,FIN_WAIT1,1,10.193.121.196,31426,98.85.100.80,443
2024-12-24 14:17:04.998006305,11500,xrdp,FIN_WAIT1,1,10.193.121.196,17602,98.85.100.80,443
2024-12-24 14:17:05.667748140,11500,xrdp,ESTABLISHED,1,10.193.121.196,2207,98.85.100.80,443
2024-12-24 14:17:05.668315477,11500,xrdp,ESTABLISHED,1,10.193.121.196,3231,98.85.100.80,443
2024-12-24 14:17:05.722009479,3649,Xorg,ESTABLISHED,1,10.193.121.196,6303,98.85.100.80,443
2024-12-24 14:17:05.734879760,11500,xrdp,FIN_WAIT1,1,10.193.121.196,31426,98.85.100.80,443
2024-12-24 14:17:05.950008076,11500,xrdp,ESTABLISHED,1,10.193.121.196,62683,34.226.108.155,443
2024-12-24 14:17:06.429274659,3649,Xorg,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,56120
2024-12-24 14:17:06.429279714,3649,Xorg,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,56120
2024-12-24 14:17:07.102291566,3649,Xorg,ESTABLISHED,1,10.193.121.196,3231,98.85.100.80,443
2024-12-24 14:17:07.839074619,12124,python3,ESTABLISHED,1,10.193.121.196,6303,98.85.100.80,443
2024-12-24 14:17:08.866860725,12121,python3,ESTABLISHED,1,10.193.121.196,12447,98.85.100.80,443
2024-12-24 14:17:09.176881520,12120,python3,ESTABLISHED,1,10.193.121.196,6303,98.85.100.80,443
2024-12-24 14:17:11.128734753,12139,StreamT~ns #185,ESTABLISHED,1,10.193.121.196,14495,98.85.100.80,443
2024-12-24 14:17:11.129005419,12139,StreamT~ns #185,ESTABLISHED,1,10.193.121.196,4316,34.226.108.155,443
2024-12-24 14:17:12.540775227,12121,python3,ESTABLISHED,1,10.193.121.196,14495,98.85.100.80,443
2024-12-24 14:17:12.550156824,12121,python3,ESTABLISHED,1,10.193.121.196,14495,98.85.100.80,443
2024-12-24 14:17:12.566010476,4926,code,FIN_WAIT1,1,10.193.121.196,3231,98.85.100.80,443
2024-12-24 14:17:12.566014141,4926,code,FIN_WAIT1,1,10.193.121.196,32450,98.85.100.80,443
2024-12-24 14:17:13.062993471,12121,python3,ESTABLISHED,1,10.193.121.196,13983,98.85.100.80,443
2024-12-24 14:17:13.070005061,12121,python3,ESTABLISHED,1,10.193.121.196,5852,34.226.108.155,443
2024-12-24 14:17:13.614005569,12124,python3,FIN_WAIT1,1,10.193.121.196,24770,98.85.100.80,443
2024-12-24 14:17:24.221354470,4613,DefaultDispatch,ESTABLISHED,1,10.193.121.196,16534,98.85.100.80,443
2024-12-24 14:17:25.053002550,12123,python3,FIN_WAIT1,1,10.193.121.196,13985,98.85.100.80,443
2024-12-24 14:17:26.710007350,12120,python3,ESTABLISHED,1,10.193.121.196,18070,98.85.100.80,443
2024-12-24 14:17:31.067810320,11500,xrdp,FIN_WAIT1,1,10.193.121.196,13985,98.85.100.80,443
2024-12-24 14:17:32.573003562,11500,xrdp,ESTABLISHED,1,10.193.121.196,25750,98.85.100.80,443
2024-12-24 14:17:32.753003266,12121,python3,FIN_WAIT1,1,10.193.121.196,18070,98.85.100.80,443
2024-12-24 14:17:33.073004147,11500,xrdp,ESTABLISHED,1,10.193.121.196,4320,34.226.108.155,443
2024-12-24 14:17:33.122256858,12119,python3,FIN_WAIT1,1,10.193.121.196,18593,98.85.100.80,443
2024-12-24 14:17:36.243163580,12122,python3,FIN_WAIT1,1,10.193.121.196,18070,98.85.100.80,443
2024-12-24 14:17:36.248114693,12122,python3,FIN_WAIT1,1,10.193.121.196,29873,34.226.108.155,443
2024-12-24 14:17:36.254004665,12122,python3,FIN_WAIT1,1,10.193.121.196,17591,34.226.108.155,443
2024-12-24 14:17:37.014007402,12121,python3,ESTABLISHED,1,10.193.121.196,57546,98.85.100.80,443
2024-12-24 14:17:41.567003726,12124,python3,ESTABLISHED,1,10.193.121.196,1739,98.85.100.80,443
2024-12-24 14:17:41.574004467,12124,python3,FIN_WAIT1,1,10.193.121.196,29873,34.226.108.155,443
2024-12-24 14:17:44.089645708,12121,python3,FIN_WAIT1,1,10.193.121.196,1739,98.85.100.80,443
2024-12-24 14:17:44.859749587,5380,prometheus-push,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,56120
2024-12-24 14:17:44.879008619,11500,xrdp,ESTABLISHED,1,10.193.121.196,62662,98.85.100.80,443
2024-12-24 14:17:44.951113661,11500,xrdp,FIN_WAIT1,1,10.193.121.196,21654,98.85.100.80,443
2024-12-24 14:17:44.955821888,11500,xrdp,ESTABLISHED,1,::ffff:10.193.121.196,15629,::ffff:10.196.30.147,56120
2024-12-24 14:17:44.957753871,11500,xrdp,ESTABLISHED,1,10.193.121.196,62666,98.85.100.80,443
2024-12-24 14:17:45.061382189,11500,xrdp,FIN_WAIT1,1,10.193.121.196,6880,34.226.108.155,443
2024-12-24 14:17:45.138537594,11500,xrdp,ESTABLISHED,1,10.193.121.196,199,98.85.100.80,443
2024-12-24 14:17:45.142004399,11500,xrdp,SYN_SENT,1,10.193.121.196,64710,98.85.100.80,443
2024-12-24 14:17:45.167483836,11500,xrdp,FIN_WAIT1,1,10.193.121.196,29873,34.226.108.155,443
2024-12-24 14:17:45.170700322,11500,xrdp,ESTABLISHED,1,10.193.121.196,46779,34.226.108.155,443
2024-12-24 14:17:45.170918428,11500,xrdp,ESTABLISHED,1,10.193.121.196,46779,34.226.108.155,443
2024-12-24 14:17:46.199010235,12123,python3,ESTABLISHED,1,10.193.121.196,62662,98.85.100.80,443
2024-12-24 14:17:46.254009624,3649,Xorg,FIN_WAIT1,1,10.193.121.196,43697,34.226.108.155,443
2024-12-24 14:17:47.263009049,12120,python3,ESTABLISHED,1,10.193.121.196,62662,98.85.100.80,443
2024-12-24 14:17:47.456112038,11500,xrdp,ESTABLISHED,1,10.193.121.196,51387,34.226.108.155,443
2024-12-24 14:17:47.457883892,11500,xrdp,ESTABLISHED,1,10.193.121.196,64710,98.85.100.80,443
2024-12-24 14:17:47.902011776,12124,python3,FIN_WAIT1,1,10.193.121.196,62154,98.85.100.80,443
2024-12-24 14:17:47.902023508,12124,python3,FIN_WAIT1,1,10.193.121.196,62154,98.85.100.80,443
2024-12-24 14:17:48.935003180,12116,python3,FIN_WAIT1,1,10.193.121.196,62662,98.85.100.80,443
2024-12-24 14:17:48.935199363,12116,python3,FIN_WAIT1,1,10.193.121.196,18070,98.85.100.80,443
2024-12-24 14:17:49.374003569,11500,xrdp,FIN_WAIT1,1,10.193.121.196,62666,98.85.100.80,443
2024-12-24 14:17:49.975004386,11500,xrdp,FIN_WAIT1,1,10.193.121.196,21654,98.85.100.80,443
2024-12-24 14:17:50.055941113,11500,xrdp,FIN_WAIT1,1,10.193.121.196,58058,98.85.100.80,443
2024-12-24 14:17:50.400007883,12121,python3,FIN_WAIT1,1,10.193.121.196,63690,98.85.100.80,443
2024-12-24 14:17:51.388015226,11500,xrdp,ESTABLISHED,1,10.193.121.196,6343,98.85.100.80,443
2024-12-24 14:17:51.388019648,11500,xrdp,ESTABLISHED,1,10.193.121.196,6343,98.85.100.80,443
2024-12-24 14:17:51.388020509,11500,xrdp,ESTABLISHED,1,10.193.121.196,6343,98.85.100.80,443
2024-12-24 14:17:51.427791900,12118,python3,FIN_WAIT1,1,10.193.121.196,62662,98.85.100.80,443
2024-12-24 14:17:51.433002993,12118,python3,ESTABLISHED,1,10.193.121.196,4807,98.85.100.80,443
2024-12-24 14:17:51.814004923,11500,xrdp,FIN_WAIT1,1,10.193.121.196,1739,98.85.100.80,443
2024-12-24 14:17:55.846084315,11500,xrdp,FIN_WAIT1,1,10.193.121.196,64710,98.85.100.80,443
2024-12-24 14:17:57.486041556,11500,xrdp,FIN_WAIT1,1,10.193.121.196,59067,34.226.108.155,443
