1ms,4ms,16ms,32ms,64ms,128ms,256ms,256ms+
0,0,2,13,0,0,0,0
14,24,62,17,0,0,0,0
20,130,131,22,0,0,8,0
20,131,155,22,0,0,8,0
24,138,164,28,0,0,8,0
24,138,164,41,3,0,8,0
24,284,287,58,12,0,8,0
24,342,354,61,12,0,8,0
24,361,360,61,12,0,8,0
51,481,476,61,12,0,8,0
58,586,573,61,12,0,8,0
58,640,632,65,12,0,8,0
61,642,638,80,12,0,8,0
61,712,679,90,12,0,8,0
65,715,715,90,12,0,8,0
65,715,717,90,12,0,8,0
66,771,736,90,12,0,8,0
72,771,766,101,12,0,8,0
72,785,822,119,12,0,8,0
76,791,837,127,12,0,8,0
76,833,868,129,12,0,8,0
76,867,909,129,12,0,8,0
78,895,938,133,12,0,8,0
78,895,1012,134,12,0,8,0
82,1007,1044,145,12,0,8,0
82,1026,1069,145,12,0,9,0
82,1071,1095,145,12,0,9,0
85,1151,1143,145,12,0,9,0
85,1192,1188,145,12,0,9,0
89,1197,1235,145,12,0,9,0
89,1266,1305,145,12,0,9,0
89,1417,1378,145,12,0,9,0
95,1520,1486,150,12,0,9,0
95,1550,1553,150,12,0,9,0
99,1568,1588,150,12,0,9,0
99,1576,1597,158,12,0,9,0
99,1591,1623,166,13,0,9,0
99,1599,1695,166,13,0,9,0
99,1623,1757,166,13,0,9,0
103,1633,1770,171,13,0,10,0
103,1633,1770,172,13,0,11,0
103,1662,1804,178,13,0,11,0
106,1664,1806,189,13,0,11,0
106,1728,1867,202,13,0,11,0
110,1736,1889,207,13,0,11,0
110,1736,1895,222,13,0,11,0
110,1736,1895,232,16,0,11,0
116,1771,2066,251,19,0,11,0
116,1887,2555,251,19,0,11,0
120,1917,2633,251,19,0,19,2
120,1917,2654,259,19,0,19,2
120,2032,2704,264,19,0,19,2
120,2113,2784,264,19,0,19,2
120,2315,2854,264,19,0,19,2
131,2495,2971,264,19,0,19,2
131,2513,3185,273,19,0,19,2
131,2516,3219,275,19,0,19,2
134,2518,3219,283,23,0,19,2
134,2518,3219,283,36,0,19,2
138,2544,3439,290,41,0,19,2
138,2561,3581,290,41,0,19,2
138,2625,3823,290,41,0,19,2
144,2755,3848,295,41,0,19,2
144,2779,3872,308,41,0,19,2
148,2890,3910,308,41,0,19,2
148,3000,3968,308,41,0,19,2
148,3074,4042,308,41,0,19,2
148,3146,4121,308,42,0,19,2
148,3146,4138,321,42,0,19,2
152,3185,4186,321,42,0,19,2
152,3186,4202,330,42,0,19,2
152,3197,4237,330,42,0,19,2
155,3282,4292,330,42,0,19,2
155,3335,4339,340,42,0,19,2
159,3432,4378,353,42,0,19,2
159,3439,4405,353,42,0,19,2
159,3477,4471,353,42,0,19,2
165,3540,4549,358,42,0,19,2
165,3558,4689,358,42,0,19,2
169,3562,4730,358,42,0,25,2
169,3562,4740,358,42,0,25,2
169,3573,4772,358,42,0,25,2
169,3578,4805,358,42,0,25,2
169,3611,4838,358,42,0,25,2
174,3615,4844,360,42,0,25,2
174,3615,4844,362,42,0,25,2
174,3615,4844,365,42,0,25,2
177,3617,4844,365,43,0,25,2
177,3619,4851,374,47,0,25,2
182,3625,4853,379,47,0,25,2
182,3627,4871,390,49,0,25,2
186,3695,4894,391,49,0,25,2
194,3699,4915,405,49,0,25,2
194,3700,4941,419,49,0,25,2
198,3703,4955,419,49,0,25,2
200,3808,5010,419,49,0,25,2
200,3865,5033,419,49,0,25,2
213,4094,5134,419,49,0,25,2
213,4231,5221,419,49,0,25,2
224,4270,5282,419,49,0,25,2
224,4324,5353,419,49,0,25,2
224,4366,5435,424,49,0,25,2
227,4563,5530,426,49,0,25,2
227,4578,5646,426,49,0,25,2
231,4614,5706,427,49,0,25,2
231,4656,5726,428,49,0,25,2
233,4671,5743,438,49,0,25,2
239,4749,5873,446,49,0,25,2
239,4837,5909,446,49,0,25,2
243,4840,5914,450,49,0,25,2
243,4840,5919,453,49,0,25,2
243,4840,5922,456,49,0,25,2
243,4842,5922,470,49,0,25,2
243,5162,6034,476,49,0,25,2
261,5321,6185,476,49,0,25,2
261,5375,6262,478,49,0,25,2
261,5512,6349,482,49,0,25,2
264,5566,6410,482,49,0,25,2
264,5718,6538,482,49,0,25,2
268,5879,6619,482,49,0,25,2
270,5958,6674,482,49,0,25,2
270,6210,6832,482,49,0,25,2
276,6428,6968,487,49,0,25,2
276,6543,7049,487,49,0,25,2
280,6592,7101,487,49,0,25,2
280,6596,7107,487,49,0,25,2
280,6686,7140,487,49,0,25,2
280,6854,7352,487,49,0,25,2
280,7096,7479,487,49,0,25,2
284,7133,7503,495,49,21,25,2
285,7286,7619,501,49,24,25,2
285,7420,7772,501,49,24,25,2
288,7533,7812,501,49,24,25,2
288,7538,7820,501,49,24,25,2
316,7662,7956,501,49,44,25,2
316,7780,8040,505,49,44,25,2
318,7825,8137,505,49,44,25,2
324,7834,8251,510,49,44,25,2
324,7892,8368,510,49,44,25,2
328,7941,8403,510,49,44,25,2
328,8110,8501,510,49,44,25,2
328,8131,8579,510,49,44,25,2
328,8180,8641,510,49,44,25,2
328,8180,8650,514,49,44,25,2
332,8248,8730,521,54,44,25,2
332,8374,8843,521,54,44,25,2
333,8541,8912,521,54,44,25,2
336,8745,8974,521,54,44,25,2
336,8935,9105,521,54,44,25,2
340,9077,9165,521,54,44,25,2
340,9149,9235,521,54,44,25,2
341,9152,9244,529,54,44,25,2
347,9361,9385,543,54,44,25,2
347,9628,9503,543,54,44,25,2
351,9642,9521,543,54,44,25,2
351,9642,9522,551,59,44,25,2
352,9694,9581,557,67,44,25,2
