Timestamp,PID,Comm,Sent_Bytes,Received_Bytes
2024-12-24 13:38:40,3636,xrdp,20593,2282
2024-12-24 13:38:41,3636,xrdp,508450,5461
2024-12-24 13:38:42,3636,xrdp,1326317,7976
2024-12-24 13:38:43,3636,xrdp,1415718,9662
2024-12-24 13:38:45,3636,xrdp,1442143,12626
2024-12-24 13:38:45,3636,xrdp,1465503,16746
2024-12-24 13:38:46,3636,xrdp,2950577,20373
2024-12-24 13:38:47,3636,xrdp,3542898,23370
2024-12-24 13:38:48,3636,xrdp,4212088,26153
2024-12-24 13:38:49,4439,prometheus,8192,239
2024-12-24 13:38:49,3636,xrdp,5045538,28753
2024-12-24 13:38:49,7283,Socket Thread,4037,62728
2024-12-24 13:38:51,3636,xrdp,5714090,32746
2024-12-24 13:38:51,3636,xrdp,6235963,34059
2024-12-24 13:38:53,3636,xrdp,6339764,35714
2024-12-24 13:38:54,3636,xrdp,6875045,35860
2024-12-24 13:38:54,4426,prometheus,8387,239
2024-12-24 13:38:54,4428,prometheus,0,12483
2024-12-24 13:38:55,3636,xrdp,7037810,35860
2024-12-24 13:38:56,7283,Socket Thread,5756,67374
2024-12-24 13:38:56,4435,prometheus,7121,2046
2024-12-24 13:38:56,3636,xrdp,7326246,35884
2024-12-24 13:38:57,3636,xrdp,7529639,35884
2024-12-24 13:38:57,7283,Socket Thread,6576,71032
2024-12-24 13:38:58,4356,grafana,60392,1276
2024-12-24 13:38:58,3636,xrdp,7864316,35932
2024-12-24 13:38:59,7283,Socket Thread,9519,72012
2024-12-24 13:38:59,4356,grafana,60825,1276
2024-12-24 13:38:59,3636,xrdp,7930590,35956
2024-12-24 13:39:00,4435,prometheus,7121,3071
2024-12-24 13:39:00,4359,grafana,7500,3022
2024-12-24 13:39:00,3636,xrdp,8268935,36004
2024-12-24 13:39:01,3636,xrdp,8574917,36066
2024-12-24 13:39:01,7283,Socket Thread,11159,76103
2024-12-24 13:39:01,4359,grafana,8464,3022
2024-12-24 13:39:02,3636,xrdp,8826754,36076
2024-12-24 13:39:03,3636,xrdp,9082137,37200
2024-12-24 13:39:04,4439,prometheus,8397,478
2024-12-24 13:39:04,4427,prometheus,12493,0
2024-12-24 13:39:04,4426,prometheus,239,12493
2024-12-24 13:39:05,3636,xrdp,9818915,37628
2024-12-24 13:39:06,3636,xrdp,10227083,37645
2024-12-24 13:39:07,3636,xrdp,11058362,37755
2024-12-24 13:39:08,3636,xrdp,11542060,37836
2024-12-24 13:39:09,4439,prometheus,8397,717
2024-12-24 13:39:09,4426,prometheus,20864,239
2024-12-24 13:39:09,4428,prometheus,0,20864
2024-12-24 13:39:09,3636,xrdp,11908530,37983
2024-12-24 13:39:10,3636,xrdp,12671441,38055
2024-12-24 13:39:11,3636,xrdp,13632136,38276
2024-12-24 13:39:12,4426,prometheus,240,20318
2024-12-24 13:39:12,4428,prometheus,240,12288
2024-12-24 13:39:12,3636,xrdp,14931165,38350
2024-12-24 13:39:13,3636,xrdp,15710922,38450
2024-12-24 13:39:14,4427,prometheus,20880,0
2024-12-24 13:39:14,3636,xrdp,16101515,38630
2024-12-24 13:39:15,7283,Socket Thread,11978,77062
2024-12-24 13:39:15,4356,grafana,60825,2095
2024-12-24 13:39:15,4352,grafana,7246,821
2024-12-24 13:39:15,3636,xrdp,16389275,38676
2024-12-24 13:39:17,3636,xrdp,16580524,38702
2024-12-24 13:39:17,7283,Socket Thread,12797,80499
2024-12-24 13:39:17,4359,grafana,8464,3841
2024-12-24 13:39:17,4356,grafana,1025,10685
2024-12-24 13:39:18,3636,xrdp,16891222,38726
2024-12-24 13:39:18,7283,Socket Thread,13617,84157
2024-12-24 13:39:18,4356,grafana,61258,2095
2024-12-24 13:39:19,4426,prometheus,25150,478
2024-12-24 13:39:19,4439,prometheus,717,12481
2024-12-24 13:39:19,3636,xrdp,17187704,38748
2024-12-24 13:39:20,3636,xrdp,17234478,38772
2024-12-24 13:39:20,7283,Socket Thread,14436,84590
2024-12-24 13:39:20,4359,grafana,12122,4660
2024-12-24 13:39:21,4356,grafana,64911,2095
2024-12-24 13:39:22,3636,xrdp,17537258,39497
2024-12-24 13:39:23,3636,xrdp,17740449,43272
2024-12-24 13:39:23,3636,xrdp,18287078,45533
2024-12-24 13:39:24,4426,prometheus,239,20880
2024-12-24 13:39:24,3636,xrdp,18365002,48979
2024-12-24 13:39:26,3636,xrdp,18371677,52246
2024-12-24 13:39:27,3636,xrdp,18391398,55800
2024-12-24 13:39:27,4426,prometheus,240,24414
2024-12-24 13:39:28,3636,xrdp,20273141,56611
2024-12-24 13:39:29,3636,xrdp,22585939,58075
2024-12-24 13:39:29,4426,prometheus,33534,717
2024-12-24 13:39:29,4440,prometheus,12499,0
2024-12-24 13:39:29,4426,prometheus,239,29283
2024-12-24 13:39:30,3636,xrdp,22748345,61461
2024-12-24 13:39:31,3636,xrdp,23489043,63739
2024-12-24 13:39:32,3636,xrdp,23865741,64331
2024-12-24 13:39:33,3636,xrdp,25351134,64483
2024-12-24 13:39:34,4432,prometheus,8192,239
2024-12-24 13:39:34,3636,xrdp,26680964,64603
2024-12-24 13:39:35,3636,xrdp,28209649,64741
2024-12-24 13:39:36,3636,xrdp,28512377,65501
2024-12-24 13:39:37,7164,prometheus-push,8969,720
2024-12-24 13:39:37,3636,xrdp,28513088,67116
2024-12-24 13:39:38,3636,xrdp,28513474,67331
2024-12-24 13:39:39,4440,prometheus,20908,0
2024-12-24 13:39:39,3636,xrdp,29767990,67502
2024-12-24 13:39:40,3636,xrdp,30509860,67661
2024-12-24 13:39:41,3636,xrdp,32055954,67743
2024-12-24 13:39:42,1663,prometheus-node,8192,240
2024-12-24 13:39:42,3636,xrdp,32984302,67801
2024-12-24 13:39:43,3636,xrdp,33379927,67818
2024-12-24 13:39:44,4431,prometheus,8192,239
2024-12-24 13:39:44,3636,xrdp,33997562,67849
2024-12-24 13:39:46,3636,xrdp,34909132,67890
2024-12-24 13:39:46,3636,xrdp,35656398,68350
2024-12-24 13:39:47,3636,xrdp,36416721,68509
2024-12-24 13:39:49,3636,xrdp,36831466,68987
2024-12-24 13:39:49,4440,prometheus,25201,239
2024-12-24 13:39:49,4437,prometheus,8192,478
2024-12-24 13:39:49,4431,prometheus,478,12493
2024-12-24 13:39:50,3636,xrdp,37102761,69914
2024-12-24 13:39:51,3636,xrdp,37331215,70031
2024-12-24 13:39:52,3636,xrdp,38198797,70872
2024-12-24 13:39:52,5381,prometheus-push,8972,0
2024-12-24 13:39:53,3636,xrdp,38817185,74271
2024-12-24 13:39:54,7283,Socket Thread,15251,88248
2024-12-24 13:39:54,4431,prometheus,8372,478
2024-12-24 13:39:54,3636,xrdp,38945709,76647
2024-12-24 13:39:55,3636,xrdp,39501163,78032
2024-12-24 13:39:56,3636,xrdp,39951383,78097
2024-12-24 13:39:57,1656,prometheus-node,24414,0
2024-12-24 13:39:57,3636,xrdp,40550833,78169
2024-12-24 13:39:58,3636,xrdp,41060126,78224
2024-12-24 13:39:59,4437,prometheus,12474,478
2024-12-24 13:39:59,4431,prometheus,478,20871
2024-12-24 13:39:59,3636,xrdp,41601396,78623
2024-12-24 13:40:00,3636,xrdp,41616164,79003
2024-12-24 13:40:01,3636,xrdp,41842154,79649
2024-12-24 13:40:02,3636,xrdp,42044468,79726
2024-12-24 13:40:03,3636,xrdp,42394428,79726
2024-12-24 13:40:04,4426,prometheus,37630,717
2024-12-24 13:40:04,4440,prometheus,956,12468
2024-12-24 13:40:04,3636,xrdp,42412806,79726
2024-12-24 13:40:06,3636,xrdp,42413397,79726
2024-12-24 13:40:08,3636,xrdp,42413483,79728
2024-12-24 13:40:09,4426,prometheus,41912,956
2024-12-24 13:40:09,4440,prometheus,956,20846
2024-12-24 13:40:09,3636,xrdp,42460361,81434
2024-12-24 13:40:10,3636,xrdp,42577625,81709
2024-12-24 13:40:11,7283,Socket Thread,16071,92062
2024-12-24 13:40:11,4356,grafana,64916,2915
2024-12-24 13:40:11,4356,grafana,2051,10685
2024-12-24 13:40:11,4359,grafana,12122,5481
2024-12-24 13:40:11,4359,grafana,5178,4947
2024-12-24 13:40:11,3636,xrdp,43003183,81733
2024-12-24 13:40:12,4433,prometheus,240,20295
2024-12-24 13:40:12,4426,prometheus,240,44736
2024-12-24 13:40:12,4440,prometheus,240,12288
2024-12-24 13:40:12,3636,xrdp,43085289,81829
2024-12-24 13:40:12,7283,Socket Thread,17717,94245
2024-12-24 13:40:12,4359,grafana,5178,5415
2024-12-24 13:40:12,4359,grafana,12757,5481
