Timestamp,Source_IP,Source_Port,Destination_IP,Destination_Port,TGID,Comm,Delay_us
2024-12-11 16:26:45.760033560,10.193.121.196,65168,44.206.71.62,443,198625,python3,236863631
2024-12-11 16:26:45.784653805,10.193.121.196,48824,44.196.3.45,443,198628,python3,249647612
2024-12-11 16:26:45.790049873,10.193.121.196,1681,44.206.71.62,443,198622,python3,252683586
2024-12-11 16:26:45.790087405,10.193.121.196,4753,44.206.71.62,443,198626,python3,246577646
2024-12-11 16:26:45.790091455,10.193.121.196,55480,44.196.3.45,443,198627,python3,234053403
2024-12-11 16:26:45.790102040,10.193.121.196,8337,44.206.71.62,443,198624,python3,233873718
2024-12-11 16:26:45.790106457,10.193.121.196,60088,44.196.3.45,443,198630,python3,233841285
2024-12-11 16:26:45.793401949,10.193.121.196,51896,44.196.3.45,443,198631,python3,237436326
2024-12-11 16:26:45.803657847,10.193.121.196,54456,44.196.3.45,443,198629,python3,247643493
2024-12-11 16:26:45.806174243,10.193.121.196,58040,44.196.3.45,443,198623,python3,249919996
2024-12-11 16:26:49.762796232,10.193.121.196,16041,44.196.3.45,443,198629,python3,240097474
2024-12-11 16:26:49.942067068,10.193.121.196,51871,44.206.71.62,443,198631,python3,241625739
2024-12-11 16:26:50.533997085,10.193.121.196,19113,44.196.3.45,443,198628,python3,237460490
2024-12-11 16:26:51.063115391,10.193.121.196,53919,44.206.71.62,443,198624,python3,236828856
2024-12-11 16:26:51.134127603,10.193.121.196,22697,44.196.3.45,443,198630,python3,242159834
2024-12-11 16:26:52.006139885,10.193.121.196,57503,44.206.71.62,443,198622,python3,243847365
2024-12-11 16:26:52.040332962,10.193.121.196,59551,44.206.71.62,443,198625,python3,244482468
2024-12-11 16:26:52.050801123,10.193.121.196,24745,44.196.3.45,443,198627,python3,241646499
2024-12-11 16:26:52.604619653,10.193.121.196,25257,44.196.3.45,443,198623,python3,245341235
2024-12-11 16:26:53.158476598,10.193.121.196,62111,44.206.71.62,443,198626,python3,247523540
2024-12-11 16:26:54.749950620,10.193.121.196,64159,44.206.71.62,443,198628,python3,237160663
2024-12-11 16:26:55.847577234,10.193.121.196,2208,44.206.71.62,443,198624,python3,230978902
2024-12-11 16:26:56.055186904,10.193.121.196,54507,44.206.71.62,443,198629,python3,249036430
2024-12-11 16:26:57.539119967,10.193.121.196,6289,44.196.3.45,443,198630,python3,246055625
2024-12-11 16:26:57.989392116,10.193.121.196,6801,44.196.3.45,443,198623,python3,233097402
2024-12-11 16:26:58.404618106,10.193.121.196,7825,44.196.3.45,443,198631,python3,237032715
2024-12-11 16:26:58.647744045,10.193.121.196,10385,44.196.3.45,443,198625,python3,232775793
2024-12-11 16:26:59.190529164,10.193.121.196,10897,44.196.3.45,443,198627,python3,245483702
2024-12-11 16:26:59.414181033,10.193.121.196,12433,44.196.3.45,443,198628,python3,242559630
2024-12-11 16:26:59.425837310,10.193.121.196,58603,44.206.71.62,443,198626,python3,242862483
2024-12-11 16:26:59.761718882,10.193.121.196,16529,44.196.3.45,443,198622,python3,240418588
2024-12-11 16:27:01.643295015,10.193.121.196,62699,44.206.71.62,443,198624,python3,233996481
2024-12-11 16:27:01.903648061,10.193.121.196,748,44.206.71.62,443,198630,python3,229377611
2024-12-11 16:27:02.336745672,10.193.121.196,20113,44.196.3.45,443,198629,python3,236081996
2024-12-11 16:27:02.559175292,10.193.121.196,21137,44.196.3.45,443,198625,python3,234240201
2024-12-11 16:27:03.650551191,10.193.121.196,1772,44.206.71.62,443,198626,python3,247725586
2024-12-11 16:27:04.463776569,10.193.121.196,23185,44.196.3.45,443,198623,python3,234572263
2024-12-11 16:27:04.669650137,10.193.121.196,4332,44.206.71.62,443,198631,python3,227976425
2024-12-11 16:27:04.993226601,10.193.121.196,5356,44.206.71.62,443,198622,python3,230538486
2024-12-11 16:27:05.439210728,10.193.121.196,25233,44.196.3.45,443,198627,python3,233048957
2024-12-11 16:27:06.696439696,10.193.121.196,52372,44.206.71.62,443,198625,python3,232470585
2024-12-11 16:27:06.966066962,10.193.121.196,23682,44.196.3.45,443,198624,python3,238502291
2024-12-11 16:27:08.196980792,10.193.121.196,56468,44.206.71.62,443,198630,python3,243450917
2024-12-11 16:27:08.387179038,10.193.121.196,25218,44.196.3.45,443,198626,python3,242732824
2024-12-11 16:27:08.602692684,10.193.121.196,26754,44.196.3.45,443,198629,python3,238458072
2024-12-11 16:27:08.964480799,10.193.121.196,59540,44.206.71.62,443,198623,python3,239100587
2024-12-11 16:27:09.432963264,10.193.121.196,62100,44.206.71.62,443,198622,python3,245042724
2024-12-11 16:27:09.543415724,10.193.121.196,64660,44.206.71.62,443,198628,python3,243662573
2024-12-11 16:27:10.663107038,10.193.121.196,65172,44.206.71.62,443,198631,python3,239811401
2024-12-11 16:27:11.696860867,10.193.121.196,2709,44.206.71.62,443,198624,python3,233902016
2024-12-11 16:27:12.232506969,10.193.121.196,30850,44.196.3.45,443,198627,python3,230524932
2024-12-11 16:27:12.715909717,10.193.121.196,4245,44.206.71.62,443,198629,python3,235065204
2024-12-11 16:27:13.548858434,10.193.121.196,8341,44.206.71.62,443,198622,python3,235245095
