1ms,4ms,16ms,32ms,64ms,128ms,256ms,256ms+
0,0,38,16,0,0,0,0
0,0,96,16,0,0,0,0
0,0,100,25,0,0,0,0
0,0,102,30,0,0,0,0
0,0,102,34,0,0,0,0
0,0,132,46,1,0,0,0
0,0,167,76,1,0,0,0
0,0,167,78,1,0,77,0
0,0,167,78,3,0,326,0
0,0,167,78,4,0,929,16
0,0,167,78,6,0,1522,319
0,0,167,78,8,0,1904,437
0,0,167,78,10,0,2211,796
0,0,171,107,18,0,2499,1049
0,0,189,156,18,0,3039,1052
0,0,189,208,21,0,3615,1053
0,0,246,235,21,0,3890,1055
0,0,247,254,21,0,4281,1055
0,0,271,286,21,0,4756,1055
0,0,281,295,21,0,5341,1056
0,0,281,305,21,0,5758,1056
0,0,281,307,21,0,6208,1056
0,0,281,308,21,0,6746,1056
0,0,281,309,22,0,7142,1060
0,0,281,318,26,0,7582,1064
0,0,281,319,29,0,8060,1087
0,0,281,332,38,0,8341,1096
0,0,281,333,39,0,8751,1101
0,0,281,333,41,0,9356,1106
0,0,283,347,45,0,9769,1204
0,0,287,356,45,0,10439,1232
0,0,297,368,45,0,11043,1236
0,0,299,380,45,0,11696,1236
0,0,299,388,45,0,12075,1236
0,0,299,393,45,0,12277,1236
0,0,299,394,45,0,12542,1236
0,0,299,395,46,0,13385,1236
0,0,299,396,52,0,14240,1236
0,0,299,400,52,0,14933,1236
0,0,299,404,53,0,15124,1238
0,0,299,404,55,0,15467,1239
0,0,299,404,61,0,15941,1239
0,0,299,404,63,0,16491,1239
0,0,299,404,65,0,17039,1239
0,0,299,406,70,0,17258,1239
0,0,299,416,71,0,17480,1239
0,0,299,417,71,0,18098,1239
0,0,299,417,74,0,18854,1241
0,0,299,426,78,0,19346,1242
0,0,299,428,78,0,19715,1242
0,0,299,434,78,0,20249,1244
0,0,303,444,78,0,20743,1244
0,0,303,447,78,0,21228,1244
0,0,303,467,78,0,21502,1244
0,0,303,469,78,0,22003,1244
0,0,303,478,78,0,22590,1244
0,0,303,480,78,0,23378,1244
0,0,303,486,81,0,24252,1244
0,0,303,488,82,0,24943,1244
0,0,303,499,84,0,25454,1244
0,0,309,505,84,0,26093,1244
0,0,309,511,84,0,26874,1244
0,0,313,530,84,0,27946,1276
0,0,313,548,84,0,28403,1276
0,0,313,554,84,0,28774,1276
0,0,313,556,84,0,28955,1276
0,0,313,559,87,0,29144,1276
0,0,313,563,87,0,29144,1276
0,0,316,572,87,0,29144,1276
0,0,319,574,87,0,29144,1276
0,0,341,588,87,0,29144,1276
0,0,388,595,87,0,29144,1276
0,0,409,595,87,0,29144,1276
0,0,426,595,87,0,29144,1276
0,0,429,595,87,0,29144,1276
0,0,434,595,87,0,29144,1276
